Folder,Dominant Emotion,Angry,Disgust,Fear,Happy,Sad,Surprise,Neutral
Fotos_Audio1_Feliz,neutral,1469.929862,1.3531497150386198,2462.9732935833613,532.5793826308153,874.6436341564131,550.6904117023404,3007.8301910468826
Fotos_Audio2_Angry,sad,898.1654044837272,270.95374507800204,809.5044790705329,9.391264817692772,2371.291526209483,47.48833351171276,1393.205240739339
Fotos_Audio3_Surprise,neutral,913.1617618190861,0.000906673,1316.5977183972523,1039.052658443493,256.06331015232655,1188.1993483430506,1786.924365
Fotos_Audio4_Sad,neutral,3226.683936162258,0.024579525,934.8037274064636,23.857845754263824,4161.605215783861,187.80267110368823,7165.222112997555
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,16.51606587,0.015203929,27.67385723,5.984038007,9.827456564,6.187532716,33.79584484
,,15.48561042,4.671616294,13.95697378,0.161918359,40.88433666,0.818764371,24.02078001
,,14.04864249,1.39488E-05,20.25534951,15.98542551,3.939435541,18.27998997,27.49114408
,,20.55212698,0.000156557,5.954163869,0.151960801,26.50703959,1.196195357,45.63835741
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Folder,Dominant Emotion,Angry,Disgust,Fear,Happy,Sad,Surprise,Neutral
Fotos_Audio1_Feliz,neutral,16.51606587,0.015203929,27.67385723,5.984038007,9.827456564,6.187532716,33.79584484
Fotos_Audio2_Angry,sad,15.48561042,4.671616294,13.95697378,0.161918359,40.88433666,0.818764371,24.02078001
Fotos_Audio3_Surprise,neutral,14.04864249,1.39488E-05,20.25534951,15.98542551,3.939435541,18.27998997,27.49114408
Fotos_Audio4_Sad,neutral,20.55212698,0.000156557,5.954163869,0.151960801,26.50703959,1.196195357,45.63835741
