Folder,Dominant Emotion,Angry,Disgust,Fear,Happy,Sad,Surprise,Neutral,,Angry,Disgust,Fear,Happy,Sad,Surprise,Neutral
Fotos_Aud1_Happy2,happy,120.8890625,1.105413099,281.5054383,1288.930763,711.5717846,131.8161704,364.181362,,4.168588,0.038118,9.707084,44.445888,24.536958,4.545385,12.557978
Fotos_Audio2_Angry22,sad,533.4984521,5.927894359,143.9228664,1.990524947,763.6240442,4.91934821,746.1168874,,24.24993,0.26945,6.541948,0.090478,34.710184,0.223607,33.914404
Fotos_Audio3_Neutral22,sad,237.2995539,0.031403545,431.7670709,0.835093112,1282.021379,4.627245996,343.4182299,,10.317372,0.001365,18.772481,0.036308,55.74006,0.201185,14.931227
Fotos_Audio4_Fear22,neutral,21.68096765,0.001664904,428.3681094,4.430535356,341.2940762,66.16287858,538.0617706,,1.548641,0.000119,30.597722,0.316467,24.378148,4.72592,38.432984
Fotos_Audio5_Surprise22,happy,11.86365422,0.08779281,449.2703146,687.9288546,31.61987936,338.8830221,280.3464652,,0.659092,0.004877,24.959462,38.21827,1.75666,18.826835,15.574804
Fotos_Audio6_Sad22,sad,509.0366022,0.22845188,132.3977316,0.164667742,1914.798972,1.219910626,142.153669,,18.853207,0.008461,4.90362,0.006099,70.91848,0.045182,5.264951
Fotos_Audio7_disguss22,sad,293.601486,113.4714441,248.3300205,130.1252601,671.6595155,150.3354899,192.4767919,,16.311194,6.303969,13.796112,7.229181,37.314418,8.351972,10.693155
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,4.168588362,0.038117693,9.707084079,44.44588838,24.53695809,4.545385186,12.557978,,,,,,,,
,,,,,,,,,,,,MEDIA,,,,
,,,,,,,,,,Angry,Disgust,Fear,Happy,Sad,Surprise,Neutral
,,,,,,,,,,2.086563645,0.019622138,4.853830054,71.44740430853650,12.31873907748620,2.273455475,6.996056299
,,,,,,,,,,12.14407465271720,0.140043774,3.326896864,2.857460477,18.30888823395200,0.172290796,63.01354411091890
,,,,,,,,,,5.210443881,0.026744444,9.415159007,1.128297692,52.49165969713820,0.166676422,31.23492530055030
,,,,,,,,,,0.800765294,0.012437314,17.70604659655780,3.371402831,47.83020793604150,2.400326622,27.70126216425310
,,,,,,,,,,0.330369924,0.002596193,12.48006902230600,66.43050509305260,0.880872676,12.08240505368760,7.790706074
,,,,,,,,,,9.442236173,0.005261461,2.457482879,0.392002911,76.45845307451700,0.032096767,11.20807201253610
,,,,,,,,,,8.22595344,3.166963145,7.006302666,15.58590406525070,26.65139638800030,4.460597126,34.81341519809830
Audio File,Predominant Emotion,生气/angry,厌恶/disgusted,恐惧/fearful,开心/happy,难过/sad,吃惊/surprised,中立/neutral,,,,,,,,
audio_20240214-144621.wav,开心/happy,4.53893E-05,1.12658E-05,5.7603E-06,0.984489203,0.001005201,1.52576E-05,0.014341346,,0.004538929,0.001126584,0.000576028,98.44892025,0.100520067,0.001525763,1.434134599
audio_20240214-144654.wav,中立/neutral,0.000382197,0.000106378,0.001118453,0.056244426,0.019075926,0.001209749,0.921126843,,0.038219662,0.010637804,0.111845252,5.624442548,1.907592639,0.120974856,92.11268425
audio_20240214-144718.wav,难过/sad,0.001035159,0.000521235,0.000578367,0.02220287,0.492432594,0.001321682,0.475386232,,0.103515852,0.052123517,0.057836669,2.220286988,49.24325943,0.132168236,47.53862321
audio_20240214-144811.wav,难过/sad,0.0005289,0.000247557,0.048143711,0.064263389,0.712822676,0.000747334,0.169695407,,0.052890042,0.024755707,4.814371094,6.426338852,71.28226757,0.074733346,16.96954072
audio_20240214-144827.wav,开心/happy,1.64795E-05,3.1501E-06,6.7612E-06,0.946427405,5.08539E-05,0.053379756,6.60853E-05,,0.001647948,0.000315008,0.00067612,94.64274049,0.005085387,5.337975547,0.006608527
audio_20240214-144846.wav,难过/sad,0.000312649,2.06174E-05,0.000113461,0.00777907,0.819984257,0.000190117,0.171511933,,0.031264857,0.002061742,0.011346069,0.777907018,81.99842572,0.01901166,17.15119332
